Strain,TETRAHYDROCANNABINOL-THC,TETRAHYDROCANNABINOL-ACID-THCA,CANNABIDIOLS-CBD,CANNABIDIOL-ACID-CBDA,A-PINENE,B-MYRCENE,B-CARYOPHYLLENE,B-PINENE,LIMONENE,OCIMENE,LINALOOL-LIN,HUMULENE-HUM,CBG,CBG-A,CANNABAVARIN-CBDV,CANNABICHROMENE-CBC,CANNBINOL-CBN,TETRAHYDROCANNABIVARIN-THCV,A-BISABOLOL,A-PHELLANDRENE,A-TERPINENE,B-EUDESMOL,B-TERPINENE,FENCHONE,PULEGOL,BORNEOL,ISOPULEGOL,CARENE,CAMPHENE,CAMPHOR,CARYOPHYLLENE-OXIDE,CEDROL,EUCALYPTOL,GERANIOL,GUAIOL,GERANYL-ACETATE,ISOBORNEOL,MENTHOL,L-FENCHONE,NEROL,SABINENE,TERPINEOL,TERPINOLENE,TRANS-B-FARNESENE,VALENCENE,A-CEDRENE,A-FARNESENE,B-FARNESENE,CIS-NEROLIDOL,FENCHOL,TRANS-NEROLIDOL
hybridol z 2302 ndc 5081,0.42,22.6,<0.10,<0.10,<0.1,0.23,0.29,0.10,0.51,<0.1,<0.1,<0.1,<0.1,0.77,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z 2499 ndc 7666,0.89,24.1,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z 2499 ndc 7672,0.89,24.1,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z 2570 ndc 8792,0.50,25.2,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z 2579 ndc 7786,0.69,25.1,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z 2601 ndc 6251,1.11,24.9,<0.10,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z 2605 ndc 6991,0.75,25.3,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z 2605 ndc 7194,0.75,25.3,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z 2657 ndc 5927,0.47,26.1,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z 2667 ndc 8275,0.67,26.0,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z 2684 ndc 6706,0.86,25.98,<0.1,<0.1,<0.01,0.27,0.37,<0.01,0.63,0.57,<0.01,<0.01,<0.1,1.18,0,<0.1,<0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z 2951 ndc 3740,0.61,28.90,<0.1,<0.1,<0.1,0.44,1.19,<0.1,0.16,<0.1,0.15,0.9,<0.1,0.57,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z cr 8843 ndc 6908,7.27,81.16,<0.1,<0.1,<0.01,<0.01,1.95,<0.01,0.08,<0.01,0.33,0.56,<0.1,3.09,0,<0.1,<0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z cr 9002 ndc 9863,6.41,83.61,0,0,0,0,0.58,0,0.27,0,0,0,0,2.83,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51
hybridol z cr 9002 ndc 9864,6.41,83.61,0,0,0,0,0.58,0,0.27,0,0,0,0,2.83,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51
hybridol z cr t85 ndc 12139,10.43,74.47,0,0,0.16,1.03,1.31,0.35,2.84,0,1.71,0.40,2.55,0,0,0,0,1.62,0.26,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15
hybridol z pre rolls 2141 ndc 9925,0.81,20.6,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z pre rolls 2302 ndc 5233,0.42,22.6,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z pre rolls 2579 ndc 8141,0.69,25.1,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z pre rolls 2601 ndc 6300,1.11,24.9,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z pre rolls 2605 ndc 7000,0.75,25.3,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z pre rolls 2621 ndc 5804,0.61,25.6,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z pre rolls 2667 ndc 8279,0.67,26.0,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z pre rolls t24 ndc 11322,0.60,23.35,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z pure pax era 380 ndc 11226,73.11,3.07,0,0,0.260.26,0.87,0.92,0.23,2.03,0,0,0.54,1.18,0.41,0,0.59,0.61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z pure pax era 423 ndc 9876,83.72,0.94,0,0,0,0.35,0.79,0,1.08,0.29,0,1.58,1.22,0,0,0,0,0,0.82,0,0.29,0,0,0,0,0,1.23,0,0,0,0,0,0,0,0.65,0,1.23,0,0,0,0,0,0.38,0,0,0,0,0,0.34,0,0
hybridol z pure rythm disposable vape t228 ndc 11227,73.11,3.07,0,0,0.26,0.87,0.92,0.23,2.03,0,0,0.54,1.18,0.41,0,0.59,0.61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z pure rythm disposable vape t253 ndc 9877,83.72,0.94,0,0,0,0.35,0.79,0,1.08,0.29,0,1.58,1.22,0,0,0,0,0,0.82,0,0.29,0,0,0,0,0,1.23,0,0,0,0,0,0,0,0.65,0,1.23,0,0,0,0,0,0.38,0,0,0,0,0,0.34,0,0.83
hybridol z pure rythm vpen 423 ndc 9875,83.72,0.94,0,0,0,0.35,0.79,0,1.08,0.29,0,1.58,1.22,0,0,0,0,0,0.82,0,0,0,0.38,0,0,0,1.23,0,0,0,0,0,0,0,0.65,0,1.23,0,0,0,0,0,0.38,0,0,0,0,0,0.34,0,0.83
hybridol z pure rythm vpen 761 ndc 11225,73.11,3.07,0,0,0.26,0.87,0.92,0.23,2.03,0,0,0.54,1.18,0.41,0,0.59,0.61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z pure rythm vpen 846 ndc 9878,83.72,0.94,0,0,0,0.35,0.79,0,1.08,0.29,0,1.58,1.22,0,0,0,0,0,0.82,0,0.29,0,0,0,0,0,1.23,0,0,0,0,0,0,0,0.65,0,1.23,0,0,0,0,0,0.38,0,0,0,0,0,0.34,0,0.83
hybridol z pure vpen 315 ndc 6489,77.1,1.98,0.15,<0.10,<0.10,0.36,1.08,0.16,0.94,<0.10,0.30,0.29,1.94,0.28,0,0.87,0.58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z pure vpen 422 ndc 5267,69.0,3.80,0.21,<0.10,<0.10,0.30,1.10,0.11,0.76,<0.10,0.46,0.34,1.67,0.31,0,0.91,0.81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z sh t88 ndc 11239,4.30,83.76,0,0.11,0.06,0.23,0.59,0.12,0.77,0,0,0.18,0.31,2.05,0,0.43,0,0,0.11,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80,0,0,0,0,0,0,0,0.06
hybridol z sh t89 ndc 12141,11.39,77.74,0,0,0.10,0.36,0.90,0.17,1.29,0,1.28,0.26,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11
hybridol z second cut 2053 ndc 9295,0.63,19.9,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z second cut 2570 ndc 8797,0.50,25.2,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z second cut 2579 ndc 7792,0.69,25.1,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z select grind 2499 ndc 7679,0.89,24.1,<0.10,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z select grind 2570 ndc 8802,0.50,25.2,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z select grind 2579 ndc 8111,0.69,25.1,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z select grind 2605 ndc 7185,0.75,25.3,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z select grind 2667 ndc 8282,0.67,26.0,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z select grind ndc 5949,0.47,26.1,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z select grind ndc 5973,0.47,26.1,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z vpen 225 ndc 6724,53.3,1.36,0.12,<0.10,<0.10,0.23,0.69,<0.10,0.60,<0.10,0.20,0.21,1.37,0.20,0,0.61,0.42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybridol z vpen 330 ndc5731,54.4,2.85,0.16,<0.10,<0.10,0.15,0.65,<0.10,0.36,<0.10,0.26,0.18,1.33,0.25,0,0.70,0.62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrus10,2.139,0.397,0.026,<0.010,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrus40,6.531,1.188,0.078,<0.01,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,0.13,0.14,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyrbidol r oil t288 ndc 5006,57.2,0.43,0.10,<0.10,<0.1,<0.1,1.23,<0.1,0.10,<0.1,0.20,0.33,1.39,0.37,,0.86,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
icarilex flower t25 4714,0.51,24.22,0.00,0.00,,0.89,0.23,,0.27,,0.08,<0.1,,1.56,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,0.1,,,,,
icarilex t330 4153 dc pure vape,31.54,34.65,0.00,0.00,,4.46,8.2,0.5,2.45,,0.36,7,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,,,,,,,
indicol a 250 vpen ndc 3121,59.00,<0.1,0.41,<0.1,,<0.1,0.41,,<0.1,,0.24,0.32,0.94,0.22,<0.1,0.91,0.2,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol a 67,4.92,62.456,0.01,0.194,<0.1,0.31,0.31,<0.1,0.12,<0.1,0.15,0.10,0.26,1.31,,0.23,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol a 86,9.23,76.85,<.01,0.19,<0.1,0.16,0.35,<0.1,0.12,<0.1,0.28,0.14,0.10,1.22,,0.16,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol a t21 12153,1.04,19.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol a1 pure 325 vpen,75.4,1.7,<0.1,0.1,0.1,0.6,0.5,<0.1,0.4,0.1,0.3,0.2,1.1,0.6,,0.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol ab sh 9244 ndc 6476,7.95,84.49,<0.1,<0.1,<0.01,<0.01,1.16,<0.01,<0.01,<0.01,0.64,0.32,2.60,<0.1,0,<0.1,<0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol b 2835 ndc 3140,1.29,27.06,<0.1,<0.1,<0.1,0.72,0.72,<0.1,0.72,<0.1,0.42,0.29,0.1,0.45,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol b 2879 ndc 3127,1.05,27.74,<0.1,<0.1,<0.1,0.18,0.55,<0.1,0.53,<0.1,0.32,0.23,0.11,0.21,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol b 83,12.852,70.736,<0.01,0.367,<0.1,0.17,2.49,<0.1,0.30,<0.1,1.09,0.77,0.43,1.41,,0.34,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol b cr 8922 ndc 9988,13.01,76.21,0,0,0,0,0.97,0,0.22,0,0,0,0.73,1.20,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51
indicol b cr t84 ndc 11333,17.92,66.36,0,0,0.08,0.58,1.39,0.18,1.52,0,3.49,0.41,0,0.76,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08
indicol bc 2301 ndc 5026,0.81,22.2,<0.10,<0.10,<0.1,0.24,0.74,<0.1,0.24,<0.1,0.18,0.19,0.11,0.64,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol c 2450 ndc 3139,<0.1,24.50,<0.1,<0.1,<0.1,0.22,0.30,<0.1,0.56,<0.1,0.23,0.13,0.17,2.12,,0.73,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol c 2572 ndc 9983,0.42,25.3,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol c 2953 ndc 6430,0.43,29.53,<0.10,<0.10,<0.10,0.19,0.36,<0.10,0.27,<0.10,0.23,0.11,0.17,1.16,0,<0.10,<0.10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol c 3039 ndc 4309,0.44,29.95,<0.1,<0.1,<0.1,1.37,1.14,0.11,1.14,<0.1,<0.1,0.26,<0.1,1.14,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol c pure vpen 240 ndc 3320,85.68,<0.1,<0.1,<0.1,<0.1,0.16,1.63,<0.1,0.71,<0.1,3.18,0.73,1.03,0.19,,1.03,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol capsules ndc 8106,5.11,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol d 28,0.66,27.02,<.01,0.09,2.98,<0.1,0.46,0.94,0.31,<0.1,<0.1,0.14,0.16,0.34,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol d capsules 5 x 20 mg,5.32,0.01,0.04,0.01,,,,,,,,,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol d capsules 5 x 40mg,10.36,0.01,0.08,0.01,,,,,,,,,0.18,<0.1,,0.18,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol de 2555 ndc 5103,1.65,23.9,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol de 2630 ndc 6946,1.60,24.7,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol de pure vpen 458 ndc 5799,78.4,0.67,0.23,<0.10,<0.10,0.19,1.08,<0.10,0.12,<0.10,0.40,0.34,2.29,0.25,0,1.12,1.13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol e 3099 ndc 3135,0.33,30.66,<0.1,<0.1,<0.1,0.94,0.49,<0.1,1.45,<0.1,<0.1,0.16,0.21,0.81,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol e pure rythm vpen 406 ndc 9241,81.25,0,0,0,0.21,0.73,1.30,0,1.51,0.59,0,0.54,1.27,0,0,1.39,1.23,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indicol e pure rythm vpen 812 ndc 9242,81.25,0,0,0,0.21,0.73,1.30,0,1.51,0.59,0,0.54,1.27,0,0,1.39,1.23,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indicol ef pax era 390 ndc5287,75.5,2.47,0.25,<0.10,<0.10,0.22,0.75,<0.10,0.52,<0.10,0.47,0.20,1.72,0.32,0,1.92,0.62,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indicol ef pre rolls 2507 ndc 5803,0.37,24.7,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol f 86,12.602,73.168,<0.01,0.203,<0.1,<0.1,0.86,<0.1,0.13,<0.1,0.37,0.24,0.31,1.46,,0.20,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol f cr 7481 ndc 4607,3.77,71.04,<0.1,<0.1,<0.1,0.17,0.14,<0.1,0.2,<0.1,0.15,<0.1,<0.1,1.53,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol fg pre rolls 3157 ndc 7768,1.07,30.5,<0.10,<0.10,<0.10,0.25,0.89,<0.10,0.22,<0.10,0.27,0.23,0.13,1.16,0,<0.10,<0.10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol fg select grind 2700 ndc 9170,0.97,33.3,<0.10,<0.10,<0.10,0.20,0.70,<0.10,0.22,<0.10,0.35,0.24,0.11,1.26,0,<0.10,<0.10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol fg select grind 3158 ndc 8185,0.78,30.8,<0.10,<0.10,<0.10,0.14,0.75,<0.10,0.23,<0.10,0.34,0.19,0.11,1.16,0,<0.10,<0.10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol fg select grind 3331 ndc 9237,0.71,32.6,<0.10,<0.10,<0.10,0.15,0.64,<0.10,0.21,<0.10,0.22,0.22,<0.10,1.29,0,<0.10,<0.10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol h 2882 ndc 3166,0.45,28.37,<0.1,<0.1,<0.1,0.43,0.15,<0.1,0.54,<0.1,0.44,0.14,<0.1,0.92,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol h 3023 ndc 4391,0.22,30.01,<0.1,<0.1,<0.1,0.53,0.21,0.11,0.86,<0.1,0.27,<0.1,<0.1,0.95,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol h pre rolls 3023 ndc 4663,0.22,30.01,<0.1,<0.1,<0.1,0.53,0.21,0.11,0.86,<0.1,0.27,<0.1,<0.1,0.95,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol h pure vpen 385 ndc 4613,73.0,0.51,0.12,<0.10,<0.1,0.11,1.23,<0.1,0.27,<0.1,0.86,0.41,1.37,0.53,,0.84,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol h rs 9119 v1,15.63,75.56,<0.1,<0.1,,0.59,0.51,,0.71,,0.86,0.24,0.3,2.2,<0.1,0.13,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol h sh 8873 ndc 9805,4.34,84.39,0,0,0,0.16,0.53,0,0.24,0,0,0.28,0,3.03,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indicol h200 vpen,48.39,0.19,0.42,0.03,,,,,,,,,0.84,0.35,,0.49,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol ij cr 8828 ndc 7254,12.42,75.86,<0.1,<0.1,<0.01,<0.01,1.40,<0.01,<0.01,<0.01,0.38,0.29,<0.1,0.69,0,<0.1,<0.1,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indicol jk select grind 2995 ndc 7291,0.65,29.3,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol k 1865 ndc 4699,0.45,18.2,<0.10,<0.10,<0.1,<0.1,0.51,<0.1,0.25,<0.1,0.15,0.17,<0.1,1.27,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol m vpen 190mg,43.35,0.54,<.01,0.06,,,,,,,,,0.81,0.50,,0.67,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol micro tablets ndc 9142,2.23,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol n pure vpen 230 ndc 3129,82.86,0.26,<0.1,<0.1,<0.1,<0.1,0.57,<0.1,<0.1,<0.1,<0.1,0.31,1.63,0.22,,1.19,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol n vpen 250 ndc 3141,62.44,<0.1,<0.1,<0.1,<0.1,<0.1,0.44,<0.1,<0.1,<0.1,0.15,0.40,1.13,<0.1,,0.91,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol o pax era 403  ndc 7612,80.68,<0.1,<0.1,<0.1,<0.1,0.28,1.31,0.10,0.62,<0.1,<0.1,0.30,1.25,<0.1,0,1.12,1.19,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indicol ob capsules ndc 4008,5.7,<0.1,0.1,<0.1,<0.1,<0.1,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,0.2,<0.1,,0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol ob tablets ndc4652,2.69,<0.10,<0.10,<0.10,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,0.11,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol p 2842 ndc 4636,0.32,28.1,<0.10,<0.10,<0.1,<0.1,0.68,<0.1,0.37,<0.1,0.12,0.18,0.24,0.7,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol p 80,13.55,66.52,<.01,0.23,<0.1,0.15,1.08,<0.1,0.27,<0.1,0.44,0.31,0.66,1.8,,0.14,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol p cr  8786 ndc 4398,4.04,83.82,<0.1,<0.1,<0.1,<0.1,1.78,<0.1,0.22,<0.1,0.4,0.49,<0.1,1.84,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol pq cr 9023 ndc 9969,8.66,81.57,0,0,0,0.03,0.05,0,0.03,0,0,0,0.25,1.88,0,0,0,0,0.09,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indicol q 19,0.33,18.8,<.01,0.07,0.27,<0.1,0.13,0.19,0.31,<0.1,<0.1,<0.1,<0.1,0.60,,<0.1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol q 82 b,12.5,69.6,<0.1,0.3,<0.1,0.1,0.4,<0.1,0.2,<0.1,0.2,0.2,0.5,2.6,,0.3,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol q 845,7.44,77.05,<0.01,0.25,<0.1,<0.1,0.31,<0.1,0.32,<0.1,0.26,<0.1,0.98,2.03,,0.12,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol slips ndc 8657,13.8,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol u 1993 ndc 3136,1.07,18.86,<0.1,<0.1,<0.1,0.83,0.13,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,0.72,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol w pure oil t748 ndc 5007,73.6,1.38,0.10,<0.10,<0.1,<0.1,1.08,<0.1,0.28,<0.1,0.94,0.38,1.43,0.51,,1.78,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol x  2198 ndc 5101,0.48,21.5,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol x compassionate need 2198 ndc 5100,0.48,21.5,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol x pre rolls 3014 ndc 8304,0.74,29.4,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol x second cut 2868 ndc 10312,0.38,28.3,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol y 2537 ndc 3137,0.31,25.06,<0.1,<0.1,<0.1,<0.1,0.31,<0.1,0.68,<0.1,0.63,0.11,0.19,0.7,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol y pure vpen 220 ndc 3130,79.32,<0.1,<0.1,<0.1,<0.1,<0.1,1.57,<0.1,0.71,<0.1,3.13,0.58,1.83,<0.1,,0.88,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicol y vpen 250 ndc 3132,59.69,<0.1,<0.1,<0.1,<0.1,<0.1,0.97,<0.1,0.31,<0.1,1.69,0.56,1.27,<0.1,,<0.1,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
